totalBill,tip,customerGender,customerSmoking,customersServed,day,timeServed
16.99,1.01,Female,No,2,Sun,Dinner
10.34,1.66,Male,No,3,Sun,Dinner
21.01,3.5,Male,No,3,Sun,Dinner
23.68,3.31,Male,No,2,Sun,Dinner
24.59,3.61,Female,No,4,Sun,Dinner
25.29,4.71,Male,No,4,Sun,Dinner
8.77,2,Male,No,2,Sun,Dinner
26.88,3.12,Male,No,4,Sun,Dinner
15.04,1.96,Male,No,2,Sun,Dinner
14.78,3.23,Male,No,2,Sun,Dinner
10.27,1.71,Male,No,2,Sun,Dinner
35.26,5,Female,No,4,Sun,Dinner
15.42,1.57,Male,No,2,Sun,Dinner
18.43,3,Male,No,4,Sun,Dinner
14.83,3.02,Female,No,2,Sun,Dinner
21.58,3.92,Male,No,2,Sun,Dinner
10.33,1.67,Female,No,3,Sun,Dinner
16.29,3.71,Male,No,3,Sun,Dinner
16.97,3.5,Female,No,3,Sun,Dinner
20.65,3.35,Male,No,3,Sat,Dinner
17.92,4.08,Male,No,2,Sat,Dinner
20.29,2.75,Female,No,2,Sat,Dinner
15.77,2.23,Female,No,2,Sat,Dinner
39.42,7.58,Male,No,4,Sat,Dinner
19.82,3.18,Male,No,2,Sat,Dinner
17.81,2.34,Male,No,4,Sat,Dinner
13.37,2,Male,No,2,Sat,Dinner
12.69,2,Male,No,2,Sat,Dinner
21.7,4.3,Male,No,2,Sat,Dinner
19.65,3,Female,No,2,Sat,Dinner
9.55,1.45,Male,No,2,Sat,Dinner
18.35,2.5,Male,No,4,Sat,Dinner
15.06,3,Female,No,2,Sat,Dinner
20.69,2.45,Female,No,4,Sat,Dinner
17.78,3.27,Male,No,2,Sat,Dinner
24.06,3.6,Male,No,3,Sat,Dinner
16.31,2,Male,No,3,Sat,Dinner
16.93,3.07,Female,No,3,Sat,Dinner
18.69,2.31,Male,No,3,Sat,Dinner
31.27,5,Male,No,3,Sat,Dinner
16.04,2.24,Male,No,3,Sat,Dinner
17.46,2.54,Male,No,2,Sun,Dinner
13.94,3.06,Male,No,2,Sun,Dinner
9.68,1.32,Male,No,2,Sun,Dinner
30.4,5.6,Male,No,4,Sun,Dinner
18.29,3,Male,No,2,Sun,Dinner
22.23,5,Male,No,2,Sun,Dinner
32.4,6,Male,No,4,Sun,Dinner
28.55,2.05,Male,No,3,Sun,Dinner
18.04,3,Male,No,2,Sun,Dinner
12.54,2.5,Male,No,2,Sun,Dinner
10.29,2.6,Female,No,2,Sun,Dinner
34.81,5.2,Female,No,4,Sun,Dinner
9.94,1.56,Male,No,2,Sun,Dinner
25.56,4.34,Male,No,4,Sun,Dinner
19.49,3.51,Male,No,2,Sun,Dinner
38.01,3,Male,Yes,4,Sat,Dinner
26.41,1.5,Female,No,2,Sat,Dinner
11.24,1.76,Male,Yes,2,Sat,Dinner
48.27,6.73,Male,No,4,Sat,Dinner
20.29,3.21,Male,Yes,2,Sat,Dinner
13.81,2,Male,Yes,2,Sat,Dinner
11.02,1.98,Male,Yes,2,Sat,Dinner
18.29,3.76,Male,Yes,4,Sat,Dinner
17.59,2.64,Male,No,3,Sat,Dinner
20.08,3.15,Male,No,3,Sat,Dinner
16.45,2.47,Female,No,2,Sat,Dinner
3.07,1,Female,Yes,1,Sat,Dinner
20.23,2.01,Male,No,2,Sat,Dinner
15.01,2.09,Male,Yes,2,Sat,Dinner
12.02,1.97,Male,No,2,Sat,Dinner
17.07,3,Female,No,3,Sat,Dinner
26.86,3.14,Female,Yes,2,Sat,Dinner
25.28,5,Female,Yes,2,Sat,Dinner
14.73,2.2,Female,No,2,Sat,Dinner
10.51,1.25,Male,No,2,Sat,Dinner
17.92,3.08,Male,Yes,2,Sat,Dinner
27.2,4,Male,No,4,Thur,Lunch
22.76,3,Male,No,2,Thur,Lunch
17.29,2.71,Male,No,2,Thur,Lunch
19.44,3,Male,Yes,2,Thur,Lunch
16.66,3.4,Male,No,2,Thur,Lunch
10.07,1.83,Female,No,1,Thur,Lunch
32.68,5,Male,Yes,2,Thur,Lunch
15.98,2.03,Male,No,2,Thur,Lunch
34.83,5.17,Female,No,4,Thur,Lunch
13.03,2,Male,No,2,Thur,Lunch
18.28,4,Male,No,2,Thur,Lunch
24.71,5.85,Male,No,2,Thur,Lunch
21.16,3,Male,No,2,Thur,Lunch
28.97,3,Male,Yes,2,Fri,Dinner
22.49,3.5,Male,No,2,Fri,Dinner
5.75,1,Female,Yes,2,Fri,Dinner
16.32,4.3,Female,Yes,2,Fri,Dinner
22.75,3.25,Female,No,2,Fri,Dinner
40.17,4.73,Male,Yes,4,Fri,Dinner
27.28,4,Male,Yes,2,Fri,Dinner
12.03,1.5,Male,Yes,2,Fri,Dinner
21.01,3,Male,Yes,2,Fri,Dinner
12.46,1.5,Male,No,2,Fri,Dinner
11.35,2.5,Female,Yes,2,Fri,Dinner
15.38,3,Female,Yes,2,Fri,Dinner
44.3,2.5,Female,Yes,3,Sat,Dinner
22.42,3.48,Female,Yes,2,Sat,Dinner
20.92,4.08,Female,No,2,Sat,Dinner
15.36,1.64,Male,Yes,2,Sat,Dinner
20.49,4.06,Male,Yes,2,Sat,Dinner
25.21,4.29,Male,Yes,2,Sat,Dinner
18.24,3.76,Male,No,2,Sat,Dinner
14.31,4,Female,Yes,2,Sat,Dinner
14,3,Male,No,2,Sat,Dinner
7.25,1,Female,No,1,Sat,Dinner
38.07,4,Male,No,3,Sun,Dinner
23.95,2.55,Male,No,2,Sun,Dinner
25.71,4,Female,No,3,Sun,Dinner
17.31,3.5,Female,No,2,Sun,Dinner
29.93,5.07,Male,No,4,Sun,Dinner
10.65,1.5,Female,No,2,Thur,Lunch
12.43,1.8,Female,No,2,Thur,Lunch
24.08,2.92,Female,No,4,Thur,Lunch
11.69,2.31,Male,No,2,Thur,Lunch
13.42,1.68,Female,No,2,Thur,Lunch
14.26,2.5,Male,No,2,Thur,Lunch
15.95,2,Male,No,2,Thur,Lunch
12.48,2.52,Female,No,2,Thur,Lunch
29.8,4.2,Female,No,6,Thur,Lunch
8.52,1.48,Male,No,2,Thur,Lunch
14.52,2,Female,No,2,Thur,Lunch
11.38,2,Female,No,2,Thur,Lunch
22.82,2.18,Male,No,3,Thur,Lunch
19.08,1.5,Male,No,2,Thur,Lunch
20.27,2.83,Female,No,2,Thur,Lunch
11.17,1.5,Female,No,2,Thur,Lunch
12.26,2,Female,No,2,Thur,Lunch
18.26,3.25,Female,No,2,Thur,Lunch
8.51,1.25,Female,No,2,Thur,Lunch
10.33,2,Female,No,2,Thur,Lunch
14.15,2,Female,No,2,Thur,Lunch
16,2,Male,Yes,2,Thur,Lunch
13.16,2.75,Female,No,2,Thur,Lunch
17.47,3.5,Female,No,2,Thur,Lunch
34.3,6.7,Male,No,6,Thur,Lunch
41.19,5,Male,No,5,Thur,Lunch
27.05,5,Female,No,6,Thur,Lunch
16.43,2.3,Female,No,2,Thur,Lunch
8.35,1.5,Female,No,2,Thur,Lunch
18.64,1.36,Female,No,3,Thur,Lunch
11.87,1.63,Female,No,2,Thur,Lunch
9.78,1.73,Male,No,2,Thur,Lunch
7.51,2,Male,No,2,Thur,Lunch
14.07,2.5,Male,No,2,Sun,Dinner
13.13,2,Male,No,2,Sun,Dinner
17.26,2.74,Male,No,3,Sun,Dinner
24.55,2,Male,No,4,Sun,Dinner
19.77,2,Male,No,4,Sun,Dinner
29.85,5.14,Female,No,5,Sun,Dinner
48.17,5,Male,No,6,Sun,Dinner
25,3.75,Female,No,4,Sun,Dinner
13.39,2.61,Female,No,2,Sun,Dinner
16.49,2,Male,No,4,Sun,Dinner
21.5,3.5,Male,No,4,Sun,Dinner
12.66,2.5,Male,No,2,Sun,Dinner
16.21,2,Female,No,3,Sun,Dinner
13.81,2,Male,No,2,Sun,Dinner
17.51,3,Female,Yes,2,Sun,Dinner
24.52,3.48,Male,No,3,Sun,Dinner
20.76,2.24,Male,No,2,Sun,Dinner
31.71,4.5,Male,No,4,Sun,Dinner
10.59,1.61,Female,Yes,2,Sat,Dinner
10.63,2,Female,Yes,2,Sat,Dinner
50.81,10,Male,Yes,3,Sat,Dinner
15.81,3.16,Male,Yes,2,Sat,Dinner
7.25,5.15,Male,Yes,2,Sun,Dinner
31.85,3.18,Male,Yes,2,Sun,Dinner
16.82,4,Male,Yes,2,Sun,Dinner
32.9,3.11,Male,Yes,2,Sun,Dinner
17.89,2,Male,Yes,2,Sun,Dinner
14.48,2,Male,Yes,2,Sun,Dinner
9.6,4,Female,Yes,2,Sun,Dinner
34.63,3.55,Male,Yes,2,Sun,Dinner
34.65,3.68,Male,Yes,4,Sun,Dinner
23.33,5.65,Male,Yes,2,Sun,Dinner
45.35,3.5,Male,Yes,3,Sun,Dinner
23.17,6.5,Male,Yes,4,Sun,Dinner
40.55,3,Male,Yes,2,Sun,Dinner
20.69,5,Male,No,5,Sun,Dinner
20.9,3.5,Female,Yes,3,Sun,Dinner
30.46,2,Male,Yes,5,Sun,Dinner
18.15,3.5,Female,Yes,3,Sun,Dinner
23.1,4,Male,Yes,3,Sun,Dinner
15.69,1.5,Male,Yes,2,Sun,Dinner
19.81,4.19,Female,Yes,2,Thur,Lunch
28.44,2.56,Male,Yes,2,Thur,Lunch
15.48,2.02,Male,Yes,2,Thur,Lunch
16.58,4,Male,Yes,2,Thur,Lunch
7.56,1.44,Male,No,2,Thur,Lunch
10.34,2,Male,Yes,2,Thur,Lunch
43.11,5,Female,Yes,4,Thur,Lunch
13,2,Female,Yes,2,Thur,Lunch
13.51,2,Male,Yes,2,Thur,Lunch
18.71,4,Male,Yes,3,Thur,Lunch
12.74,2.01,Female,Yes,2,Thur,Lunch
13,2,Female,Yes,2,Thur,Lunch
16.4,2.5,Female,Yes,2,Thur,Lunch
20.53,4,Male,Yes,4,Thur,Lunch
16.47,3.23,Female,Yes,3,Thur,Lunch
26.59,3.41,Male,Yes,3,Sat,Dinner
38.73,3,Male,Yes,4,Sat,Dinner
24.27,2.03,Male,Yes,2,Sat,Dinner
12.76,2.23,Female,Yes,2,Sat,Dinner
30.06,2,Male,Yes,3,Sat,Dinner
25.89,5.16,Male,Yes,4,Sat,Dinner
48.33,9,Male,No,4,Sat,Dinner
13.27,2.5,Female,Yes,2,Sat,Dinner
28.17,6.5,Female,Yes,3,Sat,Dinner
12.9,1.1,Female,Yes,2,Sat,Dinner
28.15,3,Male,Yes,5,Sat,Dinner
11.59,1.5,Male,Yes,2,Sat,Dinner
7.74,1.44,Male,Yes,2,Sat,Dinner
30.14,3.09,Female,Yes,4,Sat,Dinner
12.16,2.2,Male,Yes,2,Fri,Lunch
13.42,3.48,Female,Yes,2,Fri,Lunch
8.58,1.92,Male,Yes,1,Fri,Lunch
15.98,3,Female,No,3,Fri,Lunch
13.42,1.58,Male,Yes,2,Fri,Lunch
16.27,2.5,Female,Yes,2,Fri,Lunch
10.09,2,Female,Yes,2,Fri,Lunch
20.45,3,Male,No,4,Sat,Dinner
13.28,2.72,Male,No,2,Sat,Dinner
22.12,2.88,Female,Yes,2,Sat,Dinner
24.01,2,Male,Yes,4,Sat,Dinner
15.69,3,Male,Yes,3,Sat,Dinner
11.61,3.39,Male,No,2,Sat,Dinner
10.77,1.47,Male,No,2,Sat,Dinner
15.53,3,Male,Yes,2,Sat,Dinner
10.07,1.25,Male,No,2,Sat,Dinner
12.6,1,Male,Yes,2,Sat,Dinner
32.83,1.17,Male,Yes,2,Sat,Dinner
35.83,4.67,Female,No,3,Sat,Dinner
29.03,5.92,Male,No,3,Sat,Dinner
27.18,2,Female,Yes,2,Sat,Dinner
22.67,2,Male,Yes,2,Sat,Dinner
17.82,1.75,Male,No,2,Sat,Dinner
18.78,3,Female,No,2,Thur,Dinner